sensor_id,timestamp,temperature,humidity,aqi,noise
sensor_1,2026-03-12T20:24:56+00:00,30.0,78,189,32
sensor_2,2026-03-12T20:24:56+00:00,23.7,20,58,37
sensor_3,2026-03-12T20:24:56+00:00,22.2,64,91,54
sensor_4,2026-03-12T20:24:56+00:00,23.4,24,20,34
sensor_5,2026-03-12T20:24:56+00:00,29.2,38,98,87
sensor_1,2026-03-12T20:24:58+00:00,34.1,28,163,90
sensor_2,2026-03-12T20:24:58+00:00,19.2,47,45,35
sensor_3,2026-03-12T20:24:58+00:00,26.5,31,97,41
sensor_4,2026-03-12T20:24:58+00:00,35.5,63,118,65
sensor_5,2026-03-12T20:24:58+00:00,18.6,69,57,66
sensor_1,2026-03-12T20:25:00+00:00,19.1,64,115,84
sensor_2,2026-03-12T20:25:00+00:00,35.9,75,138,31
sensor_3,2026-03-12T20:25:00+00:00,21.4,30,71,49
sensor_4,2026-03-12T20:25:00+00:00,18.8,41,179,70
sensor_5,2026-03-12T20:25:00+00:00,36.5,47,61,51
sensor_1,2026-03-12T20:25:02+00:00,34.3,23,29,73
sensor_2,2026-03-12T20:25:02+00:00,29.3,83,97,78
sensor_3,2026-03-12T20:25:02+00:00,40.0,36,123,72
sensor_4,2026-03-12T20:25:02+00:00,34.5,20,107,34
sensor_5,2026-03-12T20:25:02+00:00,24.9,79,195,70
sensor_1,2026-03-12T20:25:04+00:00,34.8,89,98,77
sensor_2,2026-03-12T20:25:04+00:00,30.7,90,95,75
sensor_3,2026-03-12T20:25:04+00:00,27.7,90,123,74
sensor_4,2026-03-12T20:25:04+00:00,33.9,36,131,56
sensor_5,2026-03-12T20:25:04+00:00,35.9,27,87,68
sensor_1,2026-03-12T20:25:06+00:00,20.2,32,183,56
sensor_2,2026-03-12T20:25:06+00:00,19.6,66,116,52
sensor_3,2026-03-12T20:25:06+00:00,31.6,24,168,70
sensor_4,2026-03-12T20:25:06+00:00,37.9,27,119,62
sensor_5,2026-03-12T20:25:06+00:00,18.5,80,69,91
sensor_1,2026-03-12T20:25:08+00:00,30.4,67,23,35
sensor_2,2026-03-12T20:25:08+00:00,18.1,84,181,30
sensor_3,2026-03-12T20:25:08+00:00,24.8,29,151,48
sensor_4,2026-03-12T20:25:08+00:00,37.2,69,205,62
sensor_5,2026-03-12T20:25:08+00:00,29.5,83,181,93
sensor_1,2026-03-12T20:25:10+00:00,29.2,27,175,63
sensor_2,2026-03-12T20:25:10+00:00,39.6,37,177,33
sensor_3,2026-03-12T20:25:10+00:00,39.9,65,92,95
sensor_4,2026-03-12T20:25:10+00:00,18.9,43,218,88
sensor_5,2026-03-12T20:25:10+00:00,24.0,75,159,41
sensor_1,2026-03-12T20:25:12+00:00,37.5,59,119,33
sensor_2,2026-03-12T20:25:12+00:00,37.8,90,123,41
sensor_3,2026-03-12T20:25:12+00:00,38.3,25,218,54
sensor_4,2026-03-12T20:25:12+00:00,25.0,73,172,67
sensor_5,2026-03-12T20:25:12+00:00,35.3,61,111,89
